3.17.2-PTU 8121594,Outpost Index,Time Index,Waypoint Name,,Cartesian Coordinate (x y z) in km,,,"Rotation Quaternion (w,x,y,z)",,,,QTMarker,OM Radius,Body Radius,Arrival Radius,Time Lines,Rotation Speed,Rotation Adjust,Orbital Radius,Orbital Speed,Orbital Angle,Grid Radius,Adjustment Date,,,Body Selection
Aberdeen R00,,,Aberdeen,Aberdeen,12905757.636,40955.551,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,402.708,274.000,437.700,20,2.5999999,116.67681,68815.024,0.000,36.524,548.000,44514.5795,,,Aberdeen
ArcCorp R00,,,ArcCorp,ArcCorp,18587664.740,-22151916.920,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,1151.453,800.000,990.000,16,3.1099999,230.73368,28917272.576,0.000,310.000,1900.000,44511.57957,,,ArcCorp
Arial R00,,,Arial,Arial,12892673.309,-31476.129,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,501.541,344.500,511.725,12,5.5100002,38.40291,52658.856,0.000,323.292,689.000,44514.57695,,,Arial
Calliope R00,,,Calliope,Calliope,22398369.308,37168840.679,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,352.246,240.000,402.350,25,4.5900002,212.32677,65823.064,0.000,194.774,480.666,44511.60489,,,Calliope
Cellin R00,,,Cellin,Cellin,-18987611.119,-2709009.661,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,380.530,260.000,423.350,26,4.4499998,253.46701,50863.260,0.000,240.000,520.666,44514.5984,,,Cellin
Clio R00,,,Clio,Clio,22476728.221,37091020.074,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,489.850,337.170,504.025,18,0.0000000,0.00000,95742.640,0.000,278.839,674.334,44511.62007,,,Clio
Crusader R00,,,Crusader,Crusader,-18962176.000,-2664960.000,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,10758.023,7450.010,7972.500,07,5.0999999,300.33377,19148527.616,0.000,188.000,14900.000,44514.61305,,,Crusader
Daymar R00,,,Daymar,Daymar,-18930539.540,-2610158.765,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,430.027,295.000,459.750,35,2.4800000,30.29544,63279.908,0.000,60.000,590.000,44553.60209,,,Daymar
Delamar R00,,,Delamar,Delamar,-10531703.478,18241438.664,0.000,-0.02566203,0.76970404,-0.45771712,-0.44428843,TRUE,118.890,75.000,228.750,10,0.0000000,0.00000,21063401.472,0.000,120.000,700.000,,,,Euterpe
Euterpe R00,,,Euterpe,Euterpe,22488109.736,37081123.565,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,314.061,213.000,373.475,25,4.2800002,269.04452,107710.472,0.000,284.020,425.666,44511.60972,,,Hurston
Hurston R00,,,Hurston,Hurston,12850457.093,0.000,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,1436.815,1000.000,1200.000,61,2.4800000,19.10777,12850457.600,0.000,0.000,2000.000,44514.57098,,,Ita
Ita R00,,,Ita,Ita,12830194.716,114913.609,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,472.454,325.000,491.250,12,4.8499999,243.07207,116686.336,0.000,100.000,650.000,44514.58278,,,Lyria
Lyria R00,,,Lyria,Lyria,18703607.172,-22121650.134,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,328.204,223.000,384.150,29,6.4299998,359.36575,119827.896,0.000,14.631,446.000,44511.58542,,,Magda
Magda R00,,,Magda,Magda,12792686.359,-74464.581,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,494.841,340.830,507.875,12,1.9400001,242.12456,94246.656,0.000,232.195,681.666,44514.58623,,,microTech
microTech R00,,,microTech,microTech,22462085.252,37185744.965,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,1439.593,1000.000,1800.000,51,4.1199999,217.11688,43443216.384,0.000,58.866,2300.000,44511.59879,,,Wala
